path,Extension,,,,,startnumber,prefix,author,,,,filename
C:\temp2\spawn\Spawn 033(1995)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,33,0,,,33,Spawn,Todd McFarlane,,by,,Spawn - 033 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 034(1995)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,34,0,,,34,Spawn,Todd McFarlane,,by,,Spawn - 034 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 035(1995)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,35,0,,,35,Spawn,Todd McFarlane,,by,,Spawn - 035 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 036(1995)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,36,0,,,36,Spawn,Todd McFarlane,,by,,Spawn - 036 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 037(1995)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,37,0,,,37,Spawn,Todd McFarlane,,by,,Spawn - 037 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 038(1995)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,38,0,,,38,Spawn,Todd McFarlane,,by,,Spawn - 038 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 039(1995)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,39,0,,,39,Spawn,Todd McFarlane,,by,,Spawn - 039 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 040(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,40,0,,,40,Spawn,Todd McFarlane,,by,,Spawn - 040 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 041(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,41,0,,,41,Spawn,Todd McFarlane,,by,,Spawn - 041 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 042(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,42,0,,,42,Spawn,Todd McFarlane,,by,,Spawn - 042 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 043(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,43,0,,,43,Spawn,Todd McFarlane,,by,,Spawn - 043 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 044(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,44,0,,,44,Spawn,Todd McFarlane,,by,,Spawn - 044 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 045(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,45,0,,,45,Spawn,Todd McFarlane,,by,,Spawn - 045 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 046(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,46,0,,,46,Spawn,Todd McFarlane,,by,,Spawn - 046 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 047(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,47,0,,,47,Spawn,Todd McFarlane,,by,,Spawn - 047 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 048(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,48,0,,,48,Spawn,Todd McFarlane,,by,,Spawn - 048 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 049(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,49,0,,,49,Spawn,Todd McFarlane,,by,,Spawn - 049 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 050(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,50,0,,,50,Spawn,Todd McFarlane,,by,,Spawn - 050 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 051(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,51,0,,,51,Spawn,Todd McFarlane,,by,,Spawn - 051 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 052(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,52,0,,,52,Spawn,Todd McFarlane,,by,,Spawn - 052 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 053(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,53,0,,,53,Spawn,Todd McFarlane,,by,,Spawn - 053 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 054(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,54,0,,,54,Spawn,Todd McFarlane,,by,,Spawn - 054 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 055(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,55,0,,,55,Spawn,Todd McFarlane,,by,,Spawn - 055 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 056(1996)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,56,0,,,56,Spawn,Todd McFarlane,,by,,Spawn - 056 by Todd McFarlane.cbr
C:\temp2\spawn\Spawn 057(1997)(Digital)(TLK-EMPIRE-HD).cbr,.cbr,57,0,,,57,Spawn,Todd McFarlane,,by,,Spawn - 057 by Todd McFarlane.cbr
